Josu Azalaren Abenturak;Iñaki Zubeldia;Costaro Bilduma;null;null;null;null;2008-1-9;
Willow;Waylan Drew;Planeta;null;null;null;null;2008-1-9;
Cuentos de Futbol;Varios Autores;Fnac;null;null;null;null;2008-1-9;
Marina;Carlos Ruiz Zafón;Planeta;null;null;null;null;2008-10-9;
Maddi la Verdad de la Mentira;Gonçalo Amaral;Esquilo;null;null;null;null;1999-12-31;
La Ladrona de Libros;Markus Zusak;Lumen;null;null;null;null;2008-6-10;
Una Muerte sin Nombre;Patricia Cornwell;RBA;null;null;null;null;1999-12-31;
Los Gritos del Pasado;Camilla Läckberg;Maeva;null;null;null;null;1999-12-31;
Días del Arenal;Soledad Puertotas;Planeta;null;null;null;null;1999-12-31;
La Apelación;John Grisham;Plaza y Janes;null;null;null;null;1999-12-31;
El Verdugo de Dios;Toti Martínez de Leza;Maeva;null;null;null;null;1999-12-31;
La Abadesa;Toti Martínez de Leza;Maeva;null;null;null;null;1999-12-31;
La Suerte de Fátima;Joanne y Gerry Dryansky;Grijalbo;null;null;null;null;1999-12-31;
Dios es una Dama con Moño;Isabel Camblor;Planeta;null;null;null;null;1999-12-31;
Punto de Partida;Patricia Cornwell;RBA;null;null;null;null;2008-3-11;
El Infinito en la Palma de la Mano;Gioconda Belli;Seix Barral;null;null;null;null;2008-3-11;
La reina muy de Cerca;Pilar Urbano;Planeta;null;null;null;null;2008-3-11;
Muerte entre Poetas;Ángela Vallvey;Planeta;null;null;null;null;1999-12-31;
Los hombres que no Amaban a las Mujeres;Stieg Larsson;Destino;null;null;null;null;1999-12-31;
Hermandad de la Buena Suerte;Fernando Savater;Planeta;null;null;null;null;2008-10-12;
Por quien doblan las campanas;Ernest Heningway;Omnibus;null;null;null;null;2008-10-12;
La flor de la Argoma;Toti Martínez de Leza;Erein;null;null;null;null;1999-12-31;
La Potencia del Uno;Bryce Courtenay;Circulo Lectores;null;null;null;null;1999-12-31;
Como Desarrollar uno Mismo capacidad Cerebral;Miriam y Otto Chrenberg;Edaf bolsillo;null;null;null;null;1999-12-31;
La Chica que Soñaba con una Cerilla y un Bidón de Gasolina;Stieg Larsson;Destino;null;null;null;null;1999-12-31;
Soria Moria;Espido Freire;Algaida;null;null;null;null;1999-12-31;
Ángeles en la Hoguera;Janine Garrisson;Maeva;null;null;null;null;1999-12-31;
La Dinastía de la Emperatriz;Pilar de Aristegui;Ediciones B;null;null;null;null;1999-12-31;
El Hijo Bastardo de Eddie;Willian Kowalski;Ediciones B;null;null;null;null;1999-12-31;
La Herejía;Romain Sarddu;Grijalbo;null;null;null;null;1999-12-31;
La Repudiada;Eliette Abécassis;Circulo Lectores;null;null;null;null;1999-12-31;
El Dueño de la Herida;Antonio Gala;Planeta;null;null;null;null;1999-12-31;
hija del Tibet;Rinchen Dolma Taring;Circulo Lectores;null;null;null;null;1999-12-31;
Jaione;Dorleta Urretabizkaia;Eleberria;null;null;null;null;1999-12-31;
